Cohort #,Zip Code
1,08016
1,08054
1,08054
1,07712
1,07023
1,08096
1,08035
1,08046
2,08075
2,08106
2,08096
2,08016
2,21042
2,08002
2,08094
3,10024
3,22801
3,08029
3,08052
3,08022
3,08610
3,08302
4,08021
4,08081
4,08054
4,19130
5,08060
5,61108
5,08515
5,08857
6,08723
6,08052
6,08075
6,08618
6,08016
6,08077
6,08610
6,08625
6,08053
6,19120
6,08540
6,19125
6,08618
6,08618
7,08807
7,08056
7,08648
7,08048
7,08048
7,08505
7,07030
7,08857
7,07704
7,08648
7,08028
7,08618
7,07728
7,08054
7,08034
7,19147
7,08505
8,08053
8,08021
8,08618
8,08020
8,08559
8,08619
8,11385
8,08096
8,08046
8,08628
8,08105
8,08077
8,07755
9,08077
9,08812
9,07003
9,08753
9,07731
9,08034
9,08103
9,08831
9,08854
9,08330
9,08690
9,08618
9,08850
10,07504
10,19064
10,08036
10,08077
10,08648
10,08060
10,08046
10,08003
10,08610
10,08803
10,08015
11,07726
11,08077
11,08108
11,18940
11,08611
11,08502
11,08619
11,08302
11,08628
11,07830
11,07060
12,08628
12,19121
12,08088
12,08105
12,08105
12,07083
12,08055
12,08801
12,08520
12,07747
12,08110
12,08075
13,08817
13,08801
13,08902
13,07646
13,22304
13,08004 2489
13,07666
13,08844
13,08648
13,08850
13,08530
13,08902
13,08611
14,08520
14,08046
14,08217
14,08648
14,08540-1685
14,08055
14,08028
14,08110
14,08037
14,08619
14,08060
14,08103
15,07103
15,08558
15,07083
15,07920
15,07753
15,08009
15,08080
15,07306
15,19123
15,08618
15,07644
15,08902
15,08691
15,19067